Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006
"Census Tract 380","Census Tract 380, Bronx County, New York","36005038000","140","00","36","005","21",,"038000",4585,4585,55160.39,0.0831212345385384
"Census Tract 381","Census Tract 381, Bronx County, New York","36005038100","140","00","36","005","21",,"038100",6382,6382,110819.6,0.0575890699107486
"Census Tract 382","Census Tract 382, Bronx County, New York","36005038200","140","00","36","005","21",,"038200",2596,2596,42843.54,0.0605925587300018
"Census Tract 383.01","Census Tract 383.01, Bronx County, New York","36005038301","140","00","36","005","21",,"038301",4797,4797,130643.2,0.0367183168416224
"Census Tract 383.02","Census Tract 383.02, Bronx County, New York","36005038302","140","00","36","005","21",,"038302",6106,6106,108987.9,0.056024583897686
"Census Tract 385","Census Tract 385, Bronx County, New York","36005038500","140","00","36","005","21",,"038500",4758,4758,64525.93,0.0737377933797377
"Census Tract 386","Census Tract 386, Bronx County, New York","36005038600","140","00","36","005","21",,"038600",7409,7409,46857.04,0.158119265417446
"Census Tract 387","Census Tract 387, Bronx County, New York","36005038700","140","00","36","005","21",,"038700",3216,3216,45452.27,0.0707555401801089
"Census Tract 388","Census Tract 388, Bronx County, New York","36005038800","140","00","36","005","21",,"038800",2606,2606,45402.63,0.0573975632319532
"Census Tract 389","Census Tract 389, Bronx County, New York","36005038900","140","00","36","005","21",,"038900",5325,5325,79423.23,0.0670458704827976
"Census Tract 390","Census Tract 390, Bronx County, New York","36005039000","140","00","36","005","21",,"039000",2975,2975,42418.85,0.0701339156783738
"Census Tract 391","Census Tract 391, Bronx County, New York","36005039100","140","00","36","005","21",,"039100",6992,6992,87748.13,0.0796826085680706
"Census Tract 392","Census Tract 392, Bronx County, New York","36005039200","140","00","36","005","21",,"039200",1781,1781,47982.7,0.0371175464905629
"Census Tract 393","Census Tract 393, Bronx County, New York","36005039300","140","00","36","005","21",,"039300",8143,8143,115557.4,0.0704671218553908
"Census Tract 394","Census Tract 394, Bronx County, New York","36005039400","140","00","36","005","21",,"039400",4573,4573,81559.12,0.0560697578521599
"Census Tract 395","Census Tract 395, Bronx County, New York","36005039500","140","00","36","005","21",,"039500",4146,4146,26188.36,0.158314633117991
"Census Tract 396","Census Tract 396, Bronx County, New York","36005039600","140","00","36","005","21",,"039600",3756,3756,43579.32,0.0861876580123151
"Census Tract 397","Census Tract 397, Bronx County, New York","36005039700","140","00","36","005","21",,"039700",3702,3702,18358.9,0.201646108012856
"Census Tract 398","Census Tract 398, Bronx County, New York","36005039800","140","00","36","005","21",,"039800",3090,3090,39647.98,0.0779358823284123
"Census Tract 399.01","Census Tract 399.01, Bronx County, New York","36005039901","140","00","36","005","21",,"039901",5228,5228,88481.8,0.0590856019410129
"Census Tract 399.02","Census Tract 399.02, Bronx County, New York","36005039902","140","00","36","005","21",,"039902",5279,5279,111465.2,0.0473600649887181
"Census Tract 401","Census Tract 401, Bronx County, New York","36005040100","140","00","36","005","21",,"040100",4593,4593,69799.24,0.0658030075815023
"Census Tract 403.02","Census Tract 403.02, Bronx County, New York","36005040302","140","00","36","005","21",,"040302",4386,4386,181022.2,0.0242290697871959
"Census Tract 403.03","Census Tract 403.03, Bronx County, New York","36005040303","140","00","36","005","21",,"040303",4478,4478,133495.6,0.0335441708610233
"Census Tract 403.04","Census Tract 403.04, Bronx County, New York","36005040304","140","00","36","005","21",,"040304",3794,3794,145894.2,0.0260051397921535
