ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
36,NEW YORK,NY,36047,Kings,36047069000,"Census Tract 690, Kings County, New York",0.066762055126,2146,335,665,30,630,47,210,116,88,65,35669,4574,106,47,229,69,490,134,222,84,109,58.9,1841,352.9,26,54.7,5,14.4,0,12,62,43.7,171,68,5,6,9.8,5.3,7.7,5.0,35669.0,4574.0,7.7,3.3,10.7,3.5,22.8,5.1,10.4,4.3,17.3,9.3,85.8,9.5,1.2,2.6,0.8,2.2,0.0,4.8,9.8,6.9,27.1,10.7,0.2,0.3,0.4056,0.7263,0.3004,0.379,1.8113,0.4553,0.2339,0.5394,0.337,0.8932,2.0035,0.4889,0.8837,0.4695,1.3532,0.7122,0.2852,0.0,0.9127,0.9274,0.44,2.5653,0.6071,7.7333,0.5832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,104,59,4.9,2.4,1549
36,NEW YORK,NY,36047,Kings,36047069601,"Census Tract 696.01, Kings County, New York",0.176418884146,3704,447,1584,84,1449,104,405,198,199,87,35358,5811,151,75,556,129,764,201,310,117,212,93.7,2354,529.6,118,103.0,0,17.0,0,12,185,99.0,405,127,0,12,10.9,5.3,9.2,3.8,35358.0,5811.0,5.7,2.8,15.0,3.9,20.6,4.8,8.4,3.3,14.6,6.4,63.6,12.1,3.3,2.9,0.0,1.1,0.0,2.0,12.8,6.8,28.0,8.3,0.0,0.3,0.4541,0.8117,0.3071,0.2646,1.8375,0.4638,0.4828,0.3759,0.1924,0.8287,1.8798,0.4029,0.7655,0.6799,1.4454,0.7602,0.0,0.0,0.9442,0.931,0.0,1.8752,0.3102,7.0379,0.4744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,348,150,9.4,4.1,1979
36,NEW YORK,NY,36047,Kings,36047070202,"Census Tract 702.02, Kings County, New York",1.99322647837,24,18,8,6,8,6,0,12,0,12,60583,47122,0,12,0,12,0,12,0,12,0,17.0,0,25.5,0,48.0,4,13.0,0,12,0,17.0,4,5,0,12,0.0,60.5,0.0,60.5,60583.0,47122.0,0.0,60.5,0.0,60.5,0.0,50.0,0.0,60.5,0.0,212.5,0.0,106.3,0.0,200.0,50.0,158.1,0.0,100.0,0.0,212.5,50.0,50.0,0.0,50.0,0.0,0.0,0.0584,0.0,0.0584,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9431,0.0,0.0,0.9772,0.0,1.9203,0.3274,1.9787,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,12,0.0,60.5,933
36,NEW YORK,NY,36047,Kings,36047072800,"Census Tract 728, Kings County, New York",0.0818729291,3811,446,1577,73,1521,93,290,184,236,115,30355,5442,196,101,832,168,866,215,293,98,206,89.7,3678,451.8,26,53.5,638,120.6,0,12,52,48.4,519,142,0,12,7.6,4.8,13.2,5.6,30355.0,5442.0,7.3,3.6,21.8,4.4,22.7,5.0,7.7,3.0,13.5,5.8,96.5,3.6,0.7,1.5,40.5,7.4,0.0,2.0,3.4,3.2,34.1,9.2,0.0,0.3,0.2999,0.9246,0.44,0.3569,2.0214,0.5217,0.8392,0.532,0.1478,0.7956,2.3146,0.6981,0.9566,0.3656,1.3222,0.6959,0.918,0.0,0.675,0.9502,0.0,2.5432,0.5979,8.2014,0.6527,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,2,4,272,129,7.1,3.1,1622
36,NEW YORK,NY,36047,Kings,36047073800,"Census Tract 738, Kings County, New York",0.069721913058,4203,519,1267,57,1160,77,685,473,89,65,23745,5091,380,245,439,185,1417,423,328,122,114,71.6,2809,685.6,238,149.3,311,108.7,9,14,231,117.2,432,133,9,4,16.3,10.6,5.0,3.7,23745.0,5091.0,15.3,9.1,10.4,4.9,33.7,9.2,7.8,3.0,9.8,6.1,66.8,14.1,6.3,3.9,24.5,8.5,0.7,1.1,19.9,10.0,37.2,10.9,0.2,0.1,0.6422,0.4601,0.6779,0.6896,2.4698,0.6574,0.2188,0.9639,0.1544,0.6267,1.9638,0.4587,0.7828,0.7986,1.5814,0.828,0.8362,0.4938,0.979,0.9571,0.44,3.7061,0.967,9.7211,0.8471,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,3,142,147,3.4,3.5,1801
36,NEW YORK,NY,36047,Kings,36047074200,"Census Tract 742, Kings County, New York",0.067308003354,3359,309,978,56,912,68,342,163,101,42,27759,4412,220,89,431,74,1040,225,421,113,119,52.7,1968,417.0,124,72.4,299,63.3,0,12,169,58.8,293,77,14,8,10.2,4.7,6.6,2.8,27759.0,4412.0,10.9,3.9,12.8,2.3,31.0,6.1,12.5,3.5,13.0,5.7,58.6,11.2,4.1,2.3,30.6,6.2,0.0,3.3,18.5,6.3,32.1,7.7,0.4,0.2,0.4235,0.6375,0.5279,0.5341,2.123,0.5525,0.3513,0.9222,0.4933,0.7782,2.545,0.8227,0.7367,0.7228,1.4595,0.7677,0.8761,0.0,0.9746,0.9448,0.5476,3.3431,0.8963,9.4706,0.8188,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,3,92,48,2.7,1.5,1527
36,NEW YORK,NY,36047,Kings,36047074800,"Census Tract 748, Kings County, New York",0.068165921998,1929,289,702,29,638,46,317,255,21,19,38667,7078,84,35,295,49,681,226,126,48,49,41.1,557,432.7,25,51.2,356,69.8,0,12,65,47.7,132,52,0,12,16.4,11.6,2.4,2.2,38667.0,7078.0,7.6,3.1,15.3,3.7,35.3,10.5,6.5,2.6,7.7,6.4,28.9,22.0,1.4,2.8,50.7,9.7,0.0,4.5,10.2,7.4,20.7,8.3,0.0,0.6,0.6451,0.1238,0.2418,0.3735,1.3842,0.3175,0.5008,0.9772,0.0858,0.4851,2.0489,0.5215,0.4911,0.5014,0.9925,0.5162,0.9445,0.0,0.9177,0.8906,0.0,2.7528,0.6902,7.1784,0.4966,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,3,32,25,1.7,1.4,1925
36,NEW YORK,NY,36047,Kings,36047075600,"Census Tract 756, Kings County, New York",0.067006457692,1996,174,726,45,689,46,117,83,46,27,47686,7765,79,38,286,46,565,83,165,62,8,15.0,377,237.1,103,74.6,275,55.4,0,12,69,36.2,148,51,12,10,5.9,4.1,4.7,2.7,47686.0,7765.0,6.0,2.7,14.3,2.4,28.3,3.3,8.3,3.0,1.2,2.2,18.9,11.8,5.6,4.0,37.9,7.3,0.0,4.4,10.0,5.2,21.5,7.4,0.6,0.5,0.2148,0.4219,0.1298,0.2822,1.0487,0.2104,0.4395,0.8488,0.186,0.0352,1.5095,0.1931,0.3569,0.779,1.1359,0.5949,0.9089,0.0,0.9154,0.8968,0.6113,3.3324,0.8936,7.0265,0.4724,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,149,85,7.5,4.2,889
36,NEW YORK,NY,36047,Kings,36047076000,"Census Tract 760, Kings County, New York",0.070109173364,3108,324,1109,18,1062,54,451,286,50,45,34403,7322,212,96,451,109,1110,218,270,105,74,60.4,381,498.6,267,113.2,676,94.0,0,12,78,51.6,353,80,0,12,14.5,8.9,4.3,3.9,34403.0,7322.0,11.9,5.2,14.5,4.0,35.7,5.9,8.7,3.7,7.0,5.7,12.3,16.0,9.3,3.8,61.0,8.4,0.0,2.9,7.3,4.8,33.2,7.7,0.0,0.4,0.5877,0.368,0.3291,0.5752,1.86,0.4715,0.4523,0.9799,0.2121,0.4319,2.0762,0.541,0.2456,0.8594,1.105,0.5784,0.9619,0.0,0.8654,0.9478,0.0,2.7751,0.6997,7.8163,0.5954,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,3,241,126,7.8,4.2,1613
36,NEW YORK,NY,36047,Kings,36047077200,"Census Tract 772, Kings County, New York",0.156113779966,2896,305,1257,37,1235,46,240,107,67,50,36194,7334,194,112,453,118,554,154,431,148,62,54.3,1793,416.1,161,119.8,736,133.2,0,12,54,46.1,463,120,10,6,8.3,3.7,4.2,3.1,36194.0,7334.0,9.4,5.2,15.6,3.9,19.1,4.9,14.9,5.1,5.0,4.4,61.9,12.8,5.9,4.3,58.6,10.5,0.0,2.5,4.4,3.7,37.5,9.3,0.3,0.2,0.3351,0.3544,0.2898,0.4649,1.4442,0.3367,0.5202,0.2798,0.6531,0.2669,1.72,0.3039,0.7562,0.7879,1.5441,0.8102,0.9581,0.0,0.7487,0.9577,0.5022,3.1667,0.8448,7.875,0.6046,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,118,75,4.1,2.6,7629
