ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape_STAr,Shape_STLe
"34",NEW JERSEY,NJ,"34039",Union,"34039033500","Census Tract 335, Union County, New Jersey",1.55635978741,"8354","527","2992","87","2767","139","335","206","141","102","37369","3875","563","209","1676","232","1198","215","865","239","170",91.6,"4325",813,"423",217.8,"891",177.8,"0","17","14",27,"307","133","1313","271",4.8,3,3.4,2.4,37369,3875,10.1,3.9,20.1,2.8,14.3,2.4,10.6,2.9,6.1,3.3,51.8,9.2,5.2,2.7,29.8,5.9,0,1.1,0.5,1,11.1,4.8,15.7,3.1,0.1577,0.2452,0.2661,0.4988,1.1678,0.248,0.7723,0.098,0.3526,0.3595,1.5824,0.2276,0.6936,0.7662,1.4598,0.7678,0.8716,0,0.2179,0.7525,0.963,2.805,0.7127,7.015,0.4707,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","324","239",4,2.9,"13917",0.0004354714415,0.131800241542
"34",NEW JERSEY,NJ,"34039",Union,"34039033900","Census Tract 339, Union County, New Jersey",0.325961594174,"3243","342","1275","56","1211","78","385","223","121","66","28640","3797","322","158","224","93","696","169","361","123","109",75.8,"1955",445.8,"183",98.7,"333",123,"0","12","180",108.9,"78","49","5","8",11.9,6.8,6.1,3.4,28640,3797,15.2,7,6.9,2.9,21.5,4.7,11.1,3.5,9,6.2,60.3,12.2,6.1,3.2,26.1,9.6,0,2.5,14.9,8.9,6.4,4.2,0.2,0.2,0.4938,0.5882,0.4969,0.6869,2.2658,0.5968,0.0755,0.4412,0.3891,0.5769,1.4827,0.181,0.7467,0.7935,1.5402,0.8082,0.8484,0,0.9585,0.5676,0.44,2.8145,0.7168,8.1032,0.638,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","246","132",7.6,3.8,"3082",9.0067854e-05,0.0591590425387
"34",NEW JERSEY,NJ,"34039",Union,"34039034500","Census Tract 345, Union County, New Jersey",0.380417806356,"4467","445","1815","64","1778","83","608","236","106","64","26657","3509","500","151","888","125","810","215","862","151","191",96.5,"3438",504.2,"424",157.5,"516",121,"0","12","78",58.2,"516","106","0","12",13.6,5,4.7,2.7,26657,3509,14.7,4.5,19.9,2.8,18.1,4.5,19.3,4.3,10.7,5.4,77,8.3,9.9,3.5,28.4,6.6,0,1.8,4.4,3.3,29,6,0,0.3,0.5565,0.4219,0.568,0.6722,2.2186,0.5825,0.7627,0.2249,0.8523,0.6767,2.5166,0.8093,0.8359,0.8684,1.7043,0.8861,0.8634,0,0.7487,0.9346,0,2.5467,0.5995,8.9862,0.7589,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","386","144",8.6,3.1,"2745",0.0001050390725,0.0502125823681
"34",NEW JERSEY,NJ,"34039",Union,"34039035100","Census Tract 351, Union County, New Jersey",0.335046188132,"4256","430","1723","75","1572","94","594","226","202","100","28792","3345","463","150","548","155","953","205","469","130","271",108.3,"3032",523.7,"389",150.1,"547",123.7,"0","12","155",78,"244","88","0","12",14,5.2,9,4.1,28792,3345,16,4.7,12.9,3.7,22.4,4.3,11,3.1,17.2,6.8,71.2,10,9.9,3.7,31.7,7,0,1.9,9.9,4.9,15.5,5.5,0,0.3,0.571,0.8023,0.4919,0.7086,2.5738,0.6878,0.3569,0.5096,0.3822,0.8912,2.1399,0.5842,0.8058,0.8684,1.6742,0.8721,0.8819,0,0.9142,0.8381,0,2.6342,0.6374,9.0221,0.7634,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","591","207",13.9,4.8,"3982",9.24880795e-05,0.0581458208146
"34",NEW JERSEY,NJ,"34039",Union,"34039035800","Census Tract 358, Union County, New Jersey",0.78196272805,"3728","352","1323","67","1250","79","360","210","120","73","32166","9082","371","245","463","92","992","217","533","151","264",108.9,"3039",395.4,"339",209.2,"199",68.4,"0","12","13",21.6,"276","99","0","12",9.7,5.4,5.8,3.4,32166,9082,15.1,9.1,12.4,2.6,26.6,5.3,14.3,3.8,21.1,8.6,81.5,7.3,9.8,6,15,5.1,0,2.4,1,1.7,22.1,7.5,0,0.3,0.4012,0.5554,0.3862,0.6838,2.0266,0.5233,0.3272,0.7764,0.6162,0.9454,2.6652,0.8751,0.8592,0.8668,1.726,0.8965,0.7346,0,0.3397,0.9009,0,1.9752,0.3494,8.393,0.6812,"0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","2","294","159",7.9,4,"4177",0.0002247271005,0.0850665462404
"34",NEW JERSEY,NJ,"34039",Union,"34039035900","Census Tract 359, Union County, New Jersey",0.299150671294,"3778","415","1754","151","1504","149","213","131","56","51","40840","8125","287","131","375","77","915","241","368","127","127",83,"2773",500.6,"255",125,"799",134.2,"0","12","28",28.4,"185","93","13","19",5.6,3.6,2.6,2.3,40840,8125,11.7,5,9.9,2.3,24.2,5.8,9.8,3.6,8.4,5.5,73.4,10.5,7.2,3.4,45.6,6.6,0,1.8,1.9,1.9,12.3,6.1,0.3,0.5,0.1994,0.1454,0.2066,0.5673,1.1187,0.2322,0.194,0.6384,0.2919,0.5362,1.6605,0.2703,0.8175,0.8202,1.6377,0.8547,0.9326,0,0.498,0.783,0.5022,2.7158,0.6741,7.1327,0.4894,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","428","210",11.4,5,"1992",8.14935245e-05,0.038153952997
"34",NEW JERSEY,NJ,"34039",Union,"34039036000","Census Tract 360, Union County, New Jersey",0.768027148564,"5080","553","2438","109","2245","155","328","223","124","103","41900","7347","315","148","694","212","951","304","784","241","172",98.1,"3978",623,"258",267.9,"1116",168.9,"16","29","100",103.1,"453","170","114","47",6.6,4.6,4.5,3.8,41900,7347,8.4,3.9,13.7,4.2,18.7,5.6,15.8,4.5,7.7,4.3,78.3,8.8,5.5,5.7,45.8,6.6,0.7,1.2,4.5,4.6,20.2,7.5,2.2,0.9,0.2499,0.3946,0.1918,0.4158,1.2521,0.2754,0.4031,0.2565,0.7051,0.4851,1.8498,0.3842,0.8429,0.7759,1.6188,0.8454,0.9333,0.4938,0.7545,0.8866,0.7979,3.8661,0.9836,8.5868,0.7079,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","544","381",11,7.3,"9218",0.0002233685125,0.062601608453
"36",NEW YORK,NY,"36005",Bronx,"36005000200","Census Tract 2, Bronx County, New York",0.185121623226,"4542","574","1486","58","1328","84","1028","396","295","201","22538","3087","762","204","950","233","960","263","883","300","249",104.7,"4465",578.5,"637",260.1,"49",47.5,"0","12","185",79.8,"269","97","6","3",22.6,7.9,15.8,9.4,22538,3087,25,5,20.9,5.1,21.1,5.1,19.4,6,18.8,7.8,98.3,2.8,14.5,5.7,3.3,3.2,0,2.2,13.9,5.9,20.3,7.1,0.1,0.1,0.7865,0.9562,0.7214,0.8759,3.34,0.8901,0.8064,0.411,0.8552,0.9174,2.99,0.9677,0.9765,0.9181,1.8946,0.9717,0.4481,0,0.9521,0.8874,0.3791,2.6667,0.6521,10.8913,0.9544,"0","1","0","0","1","0","0","0","1","1","1","1","2","0","0","1","0","0","1","5","368","159",8.1,3.6,"1680",0.000142971515,0.0589443001381
"36",NEW YORK,NY,"36005",Bronx,"36005000400","Census Tract 4, Bronx County, New York",0.297564564278,"5634","517","2115","49","1963","96","549","249","244","128","35025","3908","482","187","710","153","1127","253","600","174","405",144,"5425",524.4,"321",153.8,"13",26.2,"0","17","72",72.1,"432","133","14","6",9.8,4.4,8,3.8,35025,3908,12.2,4.5,12.6,2.9,20,4.1,10.6,3.1,20.6,7.3,96.3,2.9,5.9,2.8,0.6,1.2,0,1.5,3.7,3.7,22,6.6,0.2,0.1,0.4056,0.7466,0.3148,0.5867,2.0537,0.5316,0.3392,0.3357,0.3526,0.9405,1.968,0.4617,0.9547,0.7879,1.7426,0.9046,0.2585,0,0.7001,0.9002,0.44,2.2988,0.489,8.0631,0.6322,"0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","1","0","1","3","322","119",5.7,2.1,"2733",0.0001556105995,0.0600247836416
"36",NEW YORK,NY,"36005",Bronx,"36005004001","Census Tract 40.01, Bronx County, New York",0.04754653079,"1485","192","552","23","484","46","311","163","51","38","25964","6112","353","85","205","50","316","87","267","70","46",25.1,"1300",216.9,"214",76.6,"140",43,"0","12","35",23.3,"146","45","0","12",20.9,10.8,7.7,4.9,25964,6112,33.1,7.1,13.8,3.6,21.3,5.2,18,4.5,9.5,5.1,87.5,9.2,15,5,25.4,7.7,0,5.7,7.2,4.8,30.2,9.2,0,0.8,0.7541,0.7263,0.5945,0.9428,3.0177,0.8103,0.4094,0.4258,0.8058,0.6089,2.2499,0.6574,0.8929,0.9222,1.8151,0.9379,0.8433,0,0.8631,0.9389,0,2.6453,0.6423,9.728,0.848,"0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","3","111","53",7.5,3.5,"1374",1.31381245e-05,0.0155500938889
"36",NEW YORK,NY,"36005",Bronx,"36005006400","Census Tract 64, Bronx County, New York",0.064961275398,"3612","409","1425","58","1337","76","1153","396","64","46","17536","3452","827","238","598","172","927","244","762","210","250",122.5,"3450",451,"627",236.9,"355",105.1,"0","12","106",80.5,"746","124","0","12",32.5,11.1,4.5,3.2,17536,3452,34.2,9.4,16.6,5.2,25.7,6.1,21.1,5.3,18.7,9.1,95.5,6.2,18.9,6.8,24.9,7.3,0,2.3,7.9,6,55.8,8.6,0,0.3,0.9077,0.3946,0.874,0.9481,3.1244,0.8375,0.5816,0.7292,0.9016,0.916,3.1284,0.9862,0.9476,0.948,1.8956,0.9721,0.8393,0,0.8796,0.983,0,2.7019,0.6681,10.8503,0.9517,"1","0","0","1","2","0","0","1","1","2","1","1","2","0","0","0","1","0","1","7","321","142",8.9,3.5,"1041",1.788471e-05,0.0173778606024
